ID_Local,Rubro,Superficie_m2,Metros_Vidriera,Inversion_CAPEX_USD,Antiguedad_Anios,Inversion_Marketing_Mensual_USD,Alquiler_Mensual_USD,Transito_Peatonal_Pico,Puntos_Interes_Proximos,Distancia_Ancla_Metros,Ubicacion_Esquina,Nivel_Socioeconomico,Densidad_Poblacional_Hab_Km2,Tipo_Ubicacion,Densidad_Competencia,Venta_Online_Pct,Ticket_Promedio_USD,Posicionamiento_Precio,Margen_EBITDA_Pct,Ventas_Anuales_Totales_USD
1,Gastronomía,108,17.7,44306,5.2,2258,4686,886,6,46,0,C2,17966,Centro Comercial,8,0.1,41,Premium,0.23,589393
2,Gastronomía,90,14.0,32983,1.4,1930,3973,918,6,224,0,C3,17260,Calle Comercial,14,0.06,28,Económico,0.21,626339
3,Gastronomía,110,21.4,46147,13.4,1339,3206,887,5,67,1,D,21518,Calle Comercial,9,0.03,27,Económico,0.24,464248
4,Gastronomía,89,25.0,74669,10.1,2069,4396,860,5,610,1,C3,13637,Barrio Residencial,6,0.05,35,Medio,0.21,470543
5,Gastronomía,96,13.1,60644,0.3,2474,2654,949,5,391,0,C3,19960,Barrio Residencial,11,0.05,37,Medio,0.24,555527
6,Gastronomía,106,14.5,59296,9.4,915,3541,805,4,691,0,C3,12112,Barrio Residencial,10,0.08,41,Medio-Alto,0.21,305867
7,Gastronomía,103,24.1,66170,5.6,2652,2818,949,6,238,1,C3,20067,Calle Comercial,11,0.03,36,Medio-Alto,0.21,593027
8,Gastronomía,124,25.0,72083,5.8,4361,8100,552,9,7,1,ABC1,6712,Shopping,12,0.08,42,Premium,0.23,943148
9,Gastronomía,70,16.6,49943,12.9,3420,6392,654,4,4,0,ABC1,8736,Shopping,11,0.03,43,Premium,0.25,968104
10,Gastronomía,119,19.3,49241,9.9,1451,5767,708,6,31,0,C2,11577,Shopping,9,0.05,29,Medio,0.26,406750
11,Gastronomía,123,25.0,40381,5.6,4190,5066,736,6,84,0,ABC1,6584,Calle Comercial,8,0.04,57,Premium,0.27,699068
12,Gastronomía,102,19.7,73293,4.1,2825,5645,661,6,71,0,C3,16390,Calle Comercial,7,0.06,31,Medio,0.21,656669
13,Gastronomía,92,14.2,67676,4.3,1990,4959,704,7,281,0,C2,16121,Calle Comercial,7,0.03,42,Premium,0.26,635308
14,Gastronomía,106,15.5,74392,11.0,1947,3226,895,3,560,0,C3,21983,Barrio Residencial,13,0.07,31,Medio,0.25,394329
15,Gastronomía,112,18.4,58703,4.9,1128,5874,693,4,35,0,C3,21798,Centro Comercial,5,0.09,42,Medio-Alto,0.26,436692
16,Gastronomía,99,17.1,36112,1.7,863,4588,887,6,35,0,C2,12827,Centro Comercial,10,0.02,40,Premium,0.26,381204
17,Gastronomía,86,11.5,63419,1.9,1183,2286,938,3,234,0,D,21424,Calle Comercial,3,0.06,22,Económico,0.25,472201
18,Gastronomía,113,25.0,58688,3.6,2580,3576,751,6,105,0,ABC1,7573,Calle Comercial,13,0.08,46,Premium,0.2,655513
19,Gastronomía,72,19.9,46065,13.1,1594,4327,895,8,679,1,C3,20307,Barrio Residencial,4,0.04,32,Medio,0.27,405101
20,Gastronomía,81,16.7,32366,12.3,1580,2999,702,3,129,0,C3,21980,Calle Comercial,17,0.09,28,Económico,0.26,486840
21,Gastronomía,60,12.0,54245,5.4,508,3796,770,5,758,0,D,19179,Barrio Residencial,13,0.1,23,Económico,0.23,220350
22,Gastronomía,110,19.8,50525,1.4,2595,2661,949,4,229,0,C3,21527,Barrio Residencial,3,0.02,38,Medio,0.26,539955
23,Gastronomía,86,18.7,40700,11.7,1875,2852,753,5,438,0,C2,17515,Barrio Residencial,7,0.04,34,Medio-Alto,0.24,510055
24,Gastronomía,101,16.3,44657,4.7,1701,2875,707,7,501,0,D,20923,Barrio Residencial,11,0.03,35,Medio,0.2,529090
25,Gastronomía,109,23.1,77925,14.8,1167,6763,949,8,41,0,C3,18395,Shopping,14,0.03,31,Económico,0.27,444939
