ID_Local,Rubro,Superficie_m2,Metros_Vidriera,Inversion_CAPEX_USD,Alquiler_Mensual_USD,Transito_Peatonal_Pico,Puntos_Interes_Proximos,Distancia_Ancla_Metros,Ubicacion_Esquina,Nivel_Socioeconomico,Densidad_Competencia,Venta_Online_Pct,Ticket_Promedio_USD,Margen_EBITDA_Pct,Ventas_Anuales_Totales_USD
1,Gastronomía,108,17.7,44306,3870,792,6,131,0,C2,8,0.1,41,0.23,427990
2,Gastronomía,90,14.0,32983,3990,858,6,201,0,C3,14,0.06,28,0.21,563319
3,Gastronomía,110,21.4,46147,3267,755,5,112,1,D,9,0.03,27,0.24,367928
4,Gastronomía,89,25.0,74669,5834,868,5,402,1,C3,6,0.05,35,0.21,448726
5,Gastronomía,96,13.1,60644,3053,889,5,107,0,C3,11,0.05,37,0.24,632533
6,Gastronomía,106,14.5,59296,4322,836,4,43,0,C3,10,0.08,41,0.21,272876
7,Gastronomía,103,24.1,66170,2629,877,6,76,1,C3,11,0.03,36,0.21,512355
8,Gastronomía,124,25.0,72083,5125,647,9,87,1,ABC1,12,0.08,42,0.23,610550
9,Gastronomía,70,16.6,49943,4548,720,4,77,0,ABC1,11,0.03,43,0.25,646783
10,Gastronomía,119,19.3,49241,3941,723,6,172,0,C2,9,0.05,29,0.26,249370
11,Gastronomía,123,25.0,40381,4721,782,6,328,0,ABC1,8,0.04,57,0.27,592623
12,Gastronomía,102,19.7,73293,5747,627,6,19,0,C3,7,0.06,31,0.21,565397
13,Gastronomía,92,14.2,67676,5293,617,7,67,0,C2,7,0.03,42,0.26,500822
14,Gastronomía,106,15.5,74392,4576,754,3,174,0,C3,13,0.07,31,0.25,351378
15,Gastronomía,112,18.4,58703,4628,627,4,17,0,C3,5,0.09,42,0.26,338164
16,Gastronomía,99,17.1,36112,3560,884,6,537,0,C2,10,0.02,40,0.26,344127
17,Gastronomía,86,11.5,63419,2136,822,3,156,0,D,3,0.06,22,0.25,441879
18,Gastronomía,113,25.0,58688,3589,844,6,110,0,ABC1,13,0.08,46,0.2,546193
19,Gastronomía,72,19.9,46065,5383,752,8,501,1,C3,4,0.04,32,0.27,360486
